"","Max Depth","Num Iterations","Learning Rate","Accuracy","Sensitivity","Specificity"
"2",2,100,0.001,0.619956487341772,0.595055379746835,0.644857594936709
"3",2,100,0.01,0.635522151898734,0.647191455696203,0.623852848101266
"4",2,100,0.1,0.671143196202532,0.68251582278481,0.659770569620253
"5",2,100,0.3,0.68876582278481,0.702927215189873,0.674604430379747
"6",2,100,0.5,0.703935917721519,0.720332278481013,0.687539556962025
"7",2,200,0.001,0.619956487341772,0.595055379746835,0.644857594936709
"8",2,200,0.01,0.641831487341772,0.637895569620253,0.645767405063291
"9",2,200,0.1,0.683326740506329,0.696875,0.669778481012658
"10",2,200,0.3,0.706289556962025,0.721993670886076,0.690585443037975
"11",2,200,0.5,0.725553797468354,0.740664556962025,0.710443037974684
"12",2,300,0.001,0.619956487341772,0.595055379746835,0.644857594936709
"13",2,300,0.01,0.649090189873418,0.648180379746835,0.65
"14",2,300,0.1,0.691060126582278,0.705973101265823,0.676147151898734
"15",2,300,0.3,0.723575949367089,0.740150316455696,0.707001582278481
"16",2,300,0.5,0.7484375,0.764833860759494,0.732041139240506
"17",2,400,0.001,0.620253164556962,0.594897151898734,0.64560917721519
"18",2,400,0.01,0.653738132911392,0.656091772151899,0.651384493670886
"19",2,400,0.1,0.69873417721519,0.714912974683544,0.682555379746835
"20",2,400,0.3,0.73682753164557,0.753045886075949,0.72060917721519
"21",2,400,0.5,0.767503955696203,0.788132911392405,0.746875
"22",2,500,0.001,0.626147151898734,0.617405063291139,0.634889240506329
"23",2,500,0.01,0.657772943037975,0.663330696202532,0.652215189873418
"24",2,500,0.1,0.704489715189873,0.722982594936709,0.685996835443038
"25",2,500,0.3,0.751780063291139,0.770332278481013,0.733227848101266
"26",2,500,0.5,0.781329113924051,0.802096518987342,0.760561708860759
"27",3,100,0.001,0.634711234177215,0.604944620253165,0.664477848101266
"28",3,100,0.01,0.646242088607595,0.642721518987342,0.649762658227848
"29",3,100,0.1,0.690743670886076,0.712737341772152,0.66875
"30",3,100,0.3,0.723200158227848,0.74434335443038,0.702056962025316
"31",3,100,0.5,0.744264240506329,0.766337025316456,0.722191455696203
"32",3,200,0.001,0.634869462025316,0.604311708860759,0.665427215189873
"33",3,200,0.01,0.655973101265823,0.666257911392405,0.645688291139241
"34",3,200,0.1,0.709157436708861,0.731012658227848,0.687302215189873
"35",3,200,0.3,0.76309335443038,0.784889240506329,0.74129746835443
"36",3,200,0.5,0.793176424050633,0.814042721518987,0.772310126582278
"37",3,300,0.001,0.63846914556962,0.591574367088608,0.685363924050633
"38",3,300,0.01,0.661768196202532,0.672982594936709,0.650553797468354
"39",3,300,0.1,0.725257120253165,0.747310126582278,0.703204113924051
"40",3,300,0.3,0.796301424050633,0.820094936708861,0.772507911392405
"41",3,300,0.5,0.834790348101266,0.857397151898734,0.812183544303797
"42",3,400,0.001,0.6390625,0.597349683544304,0.680775316455696
"43",3,400,0.01,0.668868670886076,0.683346518987342,0.65439082278481
"44",3,400,0.1,0.740981012658228,0.764121835443038,0.717840189873418
"45",3,400,0.3,0.823991297468354,0.847389240506329,0.80059335443038
"46",3,400,0.5,0.866337025316456,0.890625,0.842049050632911
"47",3,500,0.001,0.6390625,0.624208860759494,0.653916139240506
"48",3,500,0.01,0.675791139240506,0.693591772151899,0.657990506329114
"49",3,500,0.1,0.75535996835443,0.780261075949367,0.730458860759494
"50",3,500,0.3,0.847507911392405,0.869738924050633,0.825276898734177
"51",3,500,0.5,0.889814082278481,0.912420886075949,0.867207278481013
"52",4,100,0.001,0.64256329113924,0.607792721518987,0.677333860759494
"53",4,100,0.01,0.662183544303797,0.669462025316456,0.654905063291139
"54",4,100,0.1,0.716653481012658,0.739833860759494,0.693473101265823
"55",4,100,0.3,0.772428797468354,0.799050632911392,0.745806962025316
"56",4,100,0.5,0.804351265822785,0.829667721518987,0.779034810126582
"57",4,200,0.001,0.645490506329114,0.625830696202532,0.665150316455696
"58",4,200,0.01,0.67284414556962,0.690110759493671,0.65557753164557
"59",4,200,0.1,0.747666139240506,0.768631329113924,0.726700949367089
"60",4,200,0.3,0.835878164556962,0.861867088607595,0.809889240506329
"61",4,200,0.5,0.873496835443038,0.895925632911392,0.851068037974684
"62",4,300,0.001,0.647092563291139,0.625514240506329,0.668670886075949
"63",4,300,0.01,0.681210443037975,0.700039556962025,0.662381329113924
"64",4,300,0.1,0.778401898734177,0.801700949367089,0.755102848101266
"65",4,300,0.3,0.880617088607595,0.90431170886076,0.85692246835443
"66",4,300,0.5,0.919224683544304,0.939556962025316,0.898892405063291
"67",4,400,0.001,0.651641613924051,0.628481012658228,0.674802215189873
"68",4,400,0.01,0.688548259493671,0.709058544303797,0.668037974683544
